nombre,poblacion,superficie,continente
Argentina,45696159,2780400,America
Colombia,52886363,1141748,America
Japon,123975371,377973,Asia
Bolivia,12413315,1098581,America
China,1408975000,9596900,Asia
Canada,41288599,9984670,America 
Jamaica,2839175,10991,America
Finlandia,5637214,338450,Europa
Noruega,5572272,385207,Europa
Australia,27204809,7688000,Oceania
Nigeria,232679478,923777,Africa
Sudafrica,64007187,1219190,Africa
Panama,4515577,75517,America 
Brasil,212726000,8510000,America 
Francia,68520000,551695,Europa
Tunez,12277109,163610,Africa
Ghana,34427414,238533,Africa
Corea del Sur,51751065,100364,Asia
Nueva Zelanda,5338500,268021,Oceania
Camerun,29123744,475440,Africa
Belgica,11876844,30688,Europa
Croacia,3866300,56594,Europa

